land_size,crop_type,fertilizer_type,season,month,recommended_quantity,requested_quantity,quantity_ratio,days_since_last_purchase,purchase_count_30d,previous_fraud_count,retailer_risk_score,village_risk_score,otp_verified,officer_approved,transaction_hour,is_repeat_purchase,is_fraud
1.7,cotton,SSP,Summer,5,170.0,123.72,0.7277,257,5,1,0.34,0.03,0,1,10,1,0
8.2,wheat,DAP,Rabi,12,410.0,209.72,0.5115,131,0,0,0.6,0.76,1,1,19,0,0
2.4,cotton,SSP,Rabi,11,264.0,445.23,1.6865,249,6,0,0.64,0.88,1,0,12,1,1
1.9,groundnut,DAP,Summer,5,76.0,81.54,1.0729,198,2,0,0.81,0.73,0,1,8,1,1
1.3,paddy,MOP,Summer,5,32.5,42.61,1.3112,73,2,1,0.42,0.23,1,0,20,1,1
6.5,cotton,Urea,Kharif,8,520.0,1081.44,2.0797,201,1,0,0.81,0.79,1,1,8,0,1
2.3,maize,DAP,Rabi,3,115.0,113.29,0.9851,229,3,2,0.09,0.37,1,0,20,1,0
7.8,sugarcane,SSP,Kharif,9,1326.0,1105.76,0.8339,299,2,0,0.6,0.21,1,0,13,1,0
10.5,soybean,SSP,Kharif,9,1050.0,898.16,0.8554,170,5,0,0.86,0.1,1,1,10,1,1
10.9,maize,Urea,Kharif,8,763.0,605.6,0.7937,125,2,0,0.86,0.1,1,1,13,1,0
6.4,wheat,SSP,Kharif,7,576.0,1239.15,2.1513,128,1,0,0.77,0.1,1,1,10,0,0
7.9,groundnut,DAP,Rabi,2,355.5,196.18,0.5518,343,6,2,0.34,0.65,1,1,7,1,1
4.8,soybean,Urea,Kharif,9,96.0,228.04,2.3754,195,5,0,0.51,0.94,0,0,12,1,1
11.4,cotton,DAP,Kharif,6,684.0,434.06,0.6346,219,1,3,0.55,0.88,0,1,7,0,1
6.0,sunflower,Urea,Kharif,7,330.0,198.38,0.6012,20,0,0,0.58,0.56,1,1,8,0,0
11.8,maize,SSP,Kharif,9,1298.0,1454.61,1.1207,345,6,2,0.34,0.76,0,0,7,1,1
2.8,paddy,DAP,Kharif,10,140.0,163.72,1.1694,27,0,0,0.86,0.37,1,1,6,0,0
11.3,sunflower,MOP,Kharif,9,372.9,404.47,1.0847,320,3,0,0.81,0.23,1,1,19,1,1
9.5,maize,DAP,Rabi,3,475.0,315.02,0.6632,90,5,3,0.6,0.03,1,0,15,1,1
10.8,sunflower,MOP,Summer,5,291.6,777.17,2.6652,206,4,1,0.68,0.56,1,0,9,1,1
5.4,soybean,SSP,Kharif,10,540.0,275.07,0.5094,180,3,0,0.97,0.94,1,0,19,1,0
0.9,sunflower,SSP,Rabi,1,81.0,208.87,2.5786,97,5,0,0.62,0.28,1,0,15,1,1
3.2,groundnut,SSP,Kharif,10,320.0,268.78,0.8399,25,0,0,0.22,0.1,1,0,12,0,0
10.3,soybean,DAP,Rabi,3,463.5,265.01,0.5717,291,5,0,0.96,0.28,1,1,18,1,0
6.8,cotton,DAP,Rabi,2,374.0,252.09,0.674,354,0,0,0.74,0.64,1,1,6,0,0
8.2,groundnut,Urea,Kharif,9,164.0,151.58,0.9242,3,0,1,0.86,0.88,1,0,7,0,1
4.7,sunflower,SSP,Summer,4,376.0,354.74,0.9435,123,0,0,0.51,0.65,0,1,11,0,0
1.1,soybean,MOP,Rabi,12,33.0,24.49,0.7422,298,2,0,0.03,0.21,0,1,12,1,0
2.2,sunflower,SSP,Rabi,12,198.0,167.0,0.8434,63,3,0,0.34,0.21,1,1,18,1,0
5.1,maize,Urea,Kharif,8,357.0,235.98,0.661,35,0,0,0.81,0.36,1,0,7,0,0
11.0,maize,SSP,Rabi,2,1100.0,793.38,0.7213,48,2,0,0.81,0.88,1,1,20,1,1
4.5,paddy,DAP,Summer,5,180.0,199.45,1.108,47,6,2,0.09,0.23,1,1,6,1,1
6.6,wheat,Urea,Kharif,8,396.0,881.31,2.2255,241,2,0,0.03,0.94,1,1,8,1,1
11.2,groundnut,MOP,Rabi,3,336.0,367.46,1.0936,364,0,2,0.34,0.27,1,1,18,0,0
11.5,wheat,Urea,Summer,5,632.5,1019.52,1.6119,338,2,0,0.81,0.17,1,0,20,1,1
10.8,sugarcane,DAP,Rabi,12,864.0,1188.89,1.376,134,4,0,0.68,0.38,0,1,7,1,1
5.4,groundnut,DAP,Rabi,2,243.0,409.85,1.6866,132,3,0,0.73,0.61,1,0,19,1,0
0.9,groundnut,MOP,Rabi,2,27.0,19.82,0.7339,54,5,2,0.2,0.64,1,0,7,1,1
10.3,paddy,SSP,Kharif,9,1030.0,968.61,0.9404,165,5,0,0.83,0.03,1,0,12,1,0
4.2,sugarcane,MOP,Kharif,8,281.4,463.61,1.6475,137,1,1,0.73,0.94,1,1,10,0,1
9.4,cotton,MOP,Summer,4,282.0,143.88,0.5102,131,0,3,0.81,0.17,1,0,7,0,1
7.1,sunflower,MOP,Rabi,11,213.0,242.79,1.1398,290,1,0,0.58,0.73,1,1,6,0,0
2.3,soybean,Urea,Kharif,7,46.0,77.51,1.6849,89,5,0,0.86,0.78,1,1,9,1,1
11.1,soybean,DAP,Rabi,12,499.5,430.01,0.8609,14,4,0,0.54,0.23,1,1,13,1,1
5.8,groundnut,DAP,Kharif,9,290.0,200.22,0.6904,42,1,0,0.22,0.98,1,1,8,0,0
11.3,soybean,Urea,Kharif,7,226.0,194.13,0.859,134,0,0,0.6,0.88,0,0,8,0,0
2.6,wheat,MOP,Rabi,12,78.0,50.19,0.6435,95,2,0,0.64,0.78,1,1,8,1,0
3.8,groundnut,Urea,Rabi,11,68.4,68.32,0.9988,169,5,0,0.83,0.37,1,1,11,1,0
7.5,maize,SSP,Summer,5,675.0,1977.49,2.9296,236,1,0,0.51,0.64,1,0,16,0,1
7.2,wheat,DAP,Kharif,6,324.0,940.24,2.902,38,5,0,0.71,0.03,0,0,7,1,1
3.7,sugarcane,Urea,Rabi,3,444.0,482.8,1.0874,93,1,0,0.42,0.27,0,0,9,0,0
6.0,sugarcane,DAP,Kharif,10,510.0,378.31,0.7418,7,3,3,0.71,0.94,1,1,19,1,1
11.4,cotton,DAP,Kharif,7,684.0,482.09,0.7048,317,0,3,0.22,0.56,1,1,16,0,1
3.6,maize,Urea,Summer,4,198.0,147.5,0.745,119,3,0,0.59,0.23,0,1,13,1,0
5.6,sunflower,Urea,Rabi,1,280.0,281.25,1.0045,333,2,2,0.77,0.73,1,1,11,1,1
8.2,cotton,DAP,Kharif,9,492.0,587.56,1.1942,274,5,0,0.22,0.37,1,1,11,1,0
9.4,wheat,MOP,Summer,4,235.0,125.37,0.5335,9,6,0,0.91,0.99,1,1,9,1,1
1.5,wheat,SSP,Rabi,12,150.0,231.38,1.5426,173,2,1,0.71,0.84,0,0,7,1,1
5.9,maize,SSP,Kharif,10,649.0,644.38,0.9929,50,3,1,0.2,0.1,1,1,16,1,0
2.2,wheat,SSP,Rabi,3,220.0,612.11,2.7823,153,5,0,0.59,0.99,1,0,19,1,1
2.0,paddy,MOP,Rabi,12,54.0,152.02,2.8153,226,6,0,0.77,0.96,0,0,20,1,1
6.0,paddy,DAP,Kharif,6,300.0,792.4,2.6413,51,4,0,0.81,0.1,1,1,17,1,1
8.6,wheat,SSP,Summer,5,688.0,376.13,0.5467,134,2,0,0.51,0.28,1,0,10,1,0
6.1,sugarcane,Urea,Kharif,10,793.0,656.77,0.8282,202,0,0,0.51,0.28,1,1,18,0,0
4.0,paddy,MOP,Rabi,12,108.0,100.54,0.9309,323,3,0,0.77,0.28,1,1,16,1,0
11.7,paddy,Urea,Summer,5,585.0,1013.36,1.7322,212,5,0,0.03,0.61,1,1,6,1,1
0.7,cotton,MOP,Kharif,7,28.0,24.73,0.8832,217,3,0,0.42,0.17,1,1,12,1,0
2.5,wheat,SSP,Kharif,6,225.0,150.65,0.6696,346,4,0,0.16,0.28,1,1,8,1,0
3.5,soybean,MOP,Kharif,8,115.5,282.21,2.4434,339,5,0,0.81,0.21,0,1,18,1,1
2.3,maize,Urea,Kharif,10,161.0,191.28,1.1881,84,0,0,0.34,0.64,1,0,13,0,0
7.5,cotton,MOP,Rabi,11,262.5,307.09,1.1699,117,4,0,0.68,0.03,1,0,10,1,1
11.3,sugarcane,SSP,Rabi,12,1808.0,4885.15,2.702,235,4,1,0.22,0.21,1,1,15,1,1
10.7,sugarcane,SSP,Kharif,6,1819.0,2062.84,1.1341,121,3,2,0.77,0.65,1,0,19,1,1
7.9,sunflower,DAP,Kharif,8,395.0,312.89,0.7921,131,6,1,0.81,0.38,1,0,12,1,1
1.9,cotton,SSP,Summer,5,190.0,433.67,2.2825,218,3,0,0.72,0.99,1,0,13,1,1
10.1,cotton,MOP,Kharif,10,404.0,742.98,1.8391,230,0,0,0.58,0.98,1,1,16,0,1
4.8,soybean,DAP,Rabi,12,216.0,222.76,1.0313,339,0,0,0.09,0.64,0,1,15,0,0
5.7,sunflower,Urea,Rabi,3,285.0,334.76,1.1746,185,0,0,0.03,0.88,0,1,11,0,0
4.8,maize,SSP,Summer,5,432.0,478.9,1.1086,138,4,0,0.59,0.27,1,1,20,1,1
3.3,groundnut,MOP,Rabi,3,99.0,117.74,1.1893,175,4,2,0.79,0.1,1,1,6,1,1
7.1,sunflower,Urea,Rabi,12,355.0,1017.15,2.8652,81,6,1,0.62,0.65,1,1,14,1,1
9.6,cotton,SSP,Kharif,7,1152.0,1085.4,0.9422,89,4,0,0.01,0.65,1,1,16,1,0
1.7,groundnut,DAP,Kharif,8,85.0,55.96,0.6584,132,4,0,0.6,0.03,1,1,13,1,0
5.4,groundnut,Urea,Rabi,11,97.2,67.24,0.6918,91,4,0,0.51,0.17,0,1,13,1,0
1.0,wheat,DAP,Summer,4,40.0,46.99,1.1747,10,4,0,0.01,0.27,1,1,18,1,1
9.5,sugarcane,Urea,Kharif,9,1235.0,1870.01,1.5142,345,3,0,0.68,0.88,1,1,6,1,1
11.9,cotton,SSP,Kharif,10,1428.0,1672.84,1.1715,183,3,0,0.71,0.65,0,0,20,1,1
11.8,groundnut,SSP,Kharif,7,1180.0,1337.7,1.1336,130,4,0,0.72,0.23,1,1,16,1,1
3.8,cotton,MOP,Kharif,7,152.0,405.74,2.6693,124,3,0,0.81,0.27,1,1,9,1,1
6.0,cotton,Urea,Kharif,8,480.0,292.24,0.6088,82,3,0,0.2,0.79,1,0,15,1,0
9.4,maize,SSP,Rabi,3,940.0,2535.94,2.6978,363,3,0,0.55,0.88,1,1,12,1,1
2.5,soybean,SSP,Rabi,3,225.0,423.66,1.8829,255,2,1,0.73,0.64,1,1,14,1,1
11.5,soybean,MOP,Rabi,3,345.0,577.86,1.675,163,5,0,0.81,0.36,0,1,19,1,0
9.8,wheat,DAP,Kharif,10,441.0,322.94,0.7323,353,6,0,0.59,0.94,0,1,18,1,0
1.4,maize,MOP,Summer,4,35.0,56.19,1.6054,16,0,2,0.74,0.03,1,1,20,0,1
6.0,paddy,Urea,Rabi,11,330.0,337.71,1.0234,98,4,0,0.6,0.65,1,0,17,1,0
12.0,sunflower,DAP,Kharif,8,600.0,689.45,1.1491,325,3,0,0.54,0.78,0,1,9,1,1
1.4,cotton,DAP,Rabi,12,77.0,74.35,0.9656,213,0,0,0.22,0.1,1,0,16,0,0
11.4,maize,MOP,Kharif,9,376.2,194.5,0.517,242,6,0,0.91,0.65,1,1,17,1,0
4.1,maize,Urea,Rabi,12,246.0,648.93,2.6379,322,4,0,0.83,0.17,1,0,7,1,1
12.0,soybean,SSP,Rabi,1,1080.0,1897.89,1.7573,171,4,0,0.81,0.65,1,0,19,1,1
4.9,sugarcane,SSP,Rabi,2,784.0,836.06,1.0664,133,6,1,0.73,0.17,1,0,18,1,1
11.6,paddy,Urea,Kharif,10,754.0,535.17,0.7098,22,3,0,0.79,0.73,1,1,13,1,0
1.6,sugarcane,MOP,Rabi,12,96.0,75.99,0.7915,75,6,1,0.58,0.65,1,1,8,1,1
6.4,soybean,DAP,Kharif,7,320.0,553.81,1.7307,23,3,0,0.22,0.78,0,1,14,1,1
5.6,soybean,Urea,Kharif,8,112.0,120.19,1.0731,274,3,0,0.64,0.28,0,1,16,1,0
1.7,paddy,MOP,Summer,5,42.5,77.61,1.8262,20,2,0,0.6,0.79,1,0,7,1,1
6.7,paddy,Urea,Kharif,8,435.5,491.86,1.1294,92,2,0,0.81,0.76,1,0,20,1,1
8.4,cotton,DAP,Kharif,9,504.0,748.54,1.4852,61,4,0,0.77,0.61,0,1,18,1,1
7.7,maize,DAP,Kharif,7,423.5,493.61,1.1656,353,6,0,0.6,0.65,1,1,19,1,1
10.6,soybean,Urea,Rabi,2,190.8,105.48,0.5528,208,6,1,0.22,0.17,0,0,8,1,0
10.0,paddy,Urea,Kharif,7,650.0,1504.29,2.3143,335,0,0,0.22,0.88,0,0,19,0,1
10.8,wheat,SSP,Rabi,12,1080.0,1401.66,1.2978,178,3,0,0.03,0.84,1,1,12,1,1
10.4,sunflower,DAP,Rabi,3,468.0,557.76,1.1918,92,1,0,0.22,0.78,0,0,18,0,0
5.8,maize,SSP,Rabi,2,580.0,494.07,0.8518,148,5,2,0.77,0.98,1,1,19,1,1
11.5,maize,DAP,Rabi,1,575.0,1242.36,2.1606,32,3,0,0.64,0.65,1,1,18,1,1
3.7,maize,SSP,Kharif,6,407.0,415.53,1.021,240,2,2,0.64,0.61,1,1,15,1,1
2.0,paddy,DAP,Kharif,8,100.0,100.66,1.0066,97,0,0,0.22,0.73,1,0,12,0,0
6.1,sugarcane,SSP,Summer,4,915.0,1923.76,2.1025,1,6,0,0.77,0.56,0,0,20,1,1
4.5,maize,DAP,Rabi,1,225.0,135.83,0.6037,38,2,0,0.42,0.76,1,0,11,1,0
11.8,groundnut,Urea,Rabi,12,212.4,137.42,0.647,319,6,1,0.09,0.98,0,1,11,1,1
2.0,paddy,SSP,Summer,5,160.0,173.19,1.0824,192,5,0,0.91,0.65,1,1,16,1,1
7.0,sugarcane,SSP,Summer,4,1050.0,1016.32,0.9679,22,1,0,0.6,0.78,0,0,14,0,0
5.2,paddy,SSP,Rabi,2,468.0,269.24,0.5753,245,1,0,0.01,0.36,1,1,8,0,0
10.5,soybean,MOP,Summer,4,283.5,190.88,0.6733,100,5,0,0.34,0.03,1,1,12,1,0
6.8,wheat,MOP,Rabi,1,204.0,244.15,1.1968,56,2,2,0.77,0.84,1,0,18,1,1
3.3,paddy,DAP,Summer,4,132.0,111.84,0.8472,108,6,0,0.59,0.37,0,1,6,1,0
4.2,cotton,SSP,Rabi,1,462.0,467.03,1.0109,159,6,0,0.64,0.1,1,1,10,1,0
2.3,groundnut,SSP,Rabi,12,207.0,223.36,1.079,104,3,0,0.86,0.38,0,0,14,1,1
11.6,maize,DAP,Rabi,1,580.0,438.06,0.7553,312,0,1,0.6,0.1,1,0,15,0,0
0.5,soybean,DAP,Kharif,7,25.0,30.62,1.2248,259,1,0,0.97,0.03,0,1,13,0,1
10.3,wheat,DAP,Kharif,8,463.5,908.52,1.9601,84,5,0,0.22,0.61,1,0,15,1,1
3.8,sunflower,SSP,Rabi,1,342.0,405.99,1.1871,32,4,0,0.09,0.28,0,1,9,1,1
6.6,sunflower,Urea,Summer,5,297.0,298.45,1.0049,131,1,0,0.77,0.94,1,1,20,0,0
12.0,paddy,SSP,Rabi,12,1080.0,1183.2,1.0956,164,0,2,0.09,0.61,1,1,12,0,0
0.6,maize,SSP,Kharif,9,66.0,81.95,1.2416,124,6,0,0.79,0.88,0,1,8,1,1
6.7,wheat,DAP,Rabi,11,335.0,322.4,0.9624,40,5,0,0.85,0.98,0,1,17,1,1
7.4,sugarcane,DAP,Summer,4,555.0,475.69,0.8571,82,4,0,0.09,0.64,1,0,19,1,0
5.6,sugarcane,SSP,Summer,5,840.0,957.59,1.14,171,0,0,0.64,0.21,0,1,20,0,0
5.4,cotton,MOP,Kharif,6,216.0,180.48,0.8356,172,2,0,0.01,0.37,1,1,16,1,0
3.6,soybean,Urea,Rabi,2,64.8,139.07,2.1461,265,1,0,0.22,0.36,1,1,11,0,0
9.7,soybean,DAP,Rabi,3,436.5,321.66,0.7369,257,5,1,0.22,0.38,0,1,11,1,0
11.0,maize,SSP,Rabi,11,1100.0,1382.28,1.2566,297,2,0,0.68,0.88,0,0,20,1,1
5.4,sugarcane,SSP,Rabi,11,864.0,863.04,0.9989,223,6,0,0.91,0.84,1,0,19,1,1
4.2,groundnut,MOP,Rabi,12,126.0,72.03,0.5717,243,0,2,0.91,0.28,1,1,9,0,1
8.4,paddy,MOP,Rabi,3,226.8,266.19,1.1737,346,5,0,0.42,0.17,1,1,19,1,0
4.8,soybean,Urea,Rabi,1,86.4,118.18,1.3678,273,5,0,0.85,0.28,1,1,17,1,1
7.9,groundnut,Urea,Rabi,1,142.2,95.35,0.6706,235,1,3,0.59,0.21,1,0,12,0,1
11.0,paddy,MOP,Summer,4,275.0,214.39,0.7796,135,5,0,0.73,0.64,1,0,10,1,1
10.9,sunflower,MOP,Kharif,6,359.7,640.87,1.7817,289,2,2,0.55,0.64,0,0,15,1,1
2.4,maize,Urea,Rabi,2,144.0,82.6,0.5736,11,1,2,0.59,0.27,0,1,12,0,0
3.8,maize,DAP,Kharif,10,209.0,184.19,0.8813,234,5,0,0.01,0.73,1,1,17,1,0
2.0,soybean,MOP,Kharif,10,66.0,73.36,1.1115,262,6,0,0.03,0.27,1,0,13,1,0
0.8,sunflower,MOP,Summer,5,21.6,12.36,0.5721,297,1,0,0.58,0.56,0,1,8,0,0
1.1,cotton,MOP,Kharif,9,44.0,30.75,0.6989,330,2,0,0.74,0.1,1,1,15,1,0
11.9,soybean,MOP,Rabi,2,357.0,349.16,0.978,147,1,0,0.03,0.21,0,0,16,0,0
3.3,groundnut,MOP,Summer,4,89.1,217.74,2.4437,336,5,2,0.85,0.76,1,1,11,1,1
2.4,wheat,Urea,Rabi,3,156.0,100.53,0.6444,49,1,3,0.01,0.23,1,0,12,0,0
6.1,groundnut,Urea,Kharif,8,122.0,75.58,0.6195,11,5,0,0.58,0.73,1,0,6,1,1
9.3,maize,DAP,Kharif,7,511.5,1533.35,2.9977,254,0,0,0.85,0.37,0,1,11,0,1
6.2,groundnut,DAP,Rabi,12,279.0,263.11,0.943,319,4,0,0.03,0.78,1,0,16,1,0
8.3,maize,MOP,Kharif,8,273.9,152.11,0.5553,85,4,0,0.83,0.37,0,1,17,1,0
3.8,sunflower,Urea,Kharif,6,209.0,277.6,1.3282,99,1,3,0.79,0.27,0,1,16,0,1
9.9,groundnut,SSP,Rabi,2,891.0,838.83,0.9414,238,0,0,0.72,0.27,1,0,15,0,0
7.0,sunflower,Urea,Rabi,1,350.0,389.64,1.1133,167,1,0,0.09,0.23,1,0,11,0,0
3.0,sunflower,SSP,Kharif,10,300.0,266.97,0.8899,240,4,0,0.22,0.27,1,1,9,1,0
11.0,sunflower,MOP,Summer,4,297.0,228.87,0.7706,84,2,0,0.74,0.27,1,0,7,1,0
8.9,sugarcane,MOP,Summer,5,489.5,1443.12,2.9482,59,6,0,0.86,0.65,1,1,16,1,1
2.8,sugarcane,Urea,Kharif,10,364.0,352.92,0.9695,229,3,2,0.03,0.21,0,0,20,1,1
5.6,groundnut,Urea,Kharif,9,112.0,125.21,1.1179,61,5,1,0.34,0.79,1,0,8,1,1
4.8,soybean,Urea,Kharif,10,96.0,155.74,1.6223,352,3,0,0.34,0.27,0,0,12,1,1
0.5,cotton,SSP,Rabi,11,55.0,105.09,1.9107,356,3,0,0.79,0.99,1,1,11,1,1
6.0,sugarcane,Urea,Rabi,1,720.0,420.15,0.5835,167,4,0,0.64,0.38,1,1,11,1,0
9.2,cotton,Urea,Summer,5,598.0,408.99,0.6839,215,0,1,0.73,0.23,1,1,17,0,0
10.6,sugarcane,DAP,Kharif,9,901.0,954.48,1.0594,271,5,0,0.64,0.64,1,1,15,1,1
10.5,sunflower,Urea,Rabi,1,525.0,279.15,0.5317,310,3,0,0.34,0.36,1,1,12,1,0
5.9,soybean,DAP,Rabi,2,265.5,612.93,2.3086,227,3,0,0.83,0.61,1,0,15,1,1
2.2,maize,Urea,Kharif,9,154.0,120.06,0.7796,160,4,1,0.73,0.76,1,1,16,1,1
5.0,soybean,DAP,Kharif,8,250.0,223.04,0.8922,120,5,0,0.54,0.21,1,0,10,1,0
11.9,paddy,Urea,Summer,4,595.0,422.46,0.71,78,3,1,0.2,0.96,0,1,19,1,0
11.4,soybean,MOP,Kharif,10,376.2,431.12,1.146,231,1,0,0.09,0.23,1,0,16,0,0
4.8,soybean,DAP,Kharif,8,240.0,277.53,1.1564,335,0,1,0.68,0.94,0,0,14,0,1
1.1,soybean,MOP,Summer,5,29.7,24.73,0.8327,178,6,0,0.22,0.28,1,0,15,1,0
10.7,wheat,DAP,Kharif,7,481.5,551.83,1.1461,11,0,0,0.77,0.78,1,1,18,0,1
1.4,soybean,SSP,Rabi,2,126.0,149.09,1.1833,351,3,0,0.81,0.21,1,0,7,1,0
9.0,groundnut,DAP,Summer,5,360.0,546.46,1.518,332,4,0,0.64,0.65,1,1,16,1,1
1.2,soybean,Urea,Kharif,8,24.0,28.55,1.1895,223,4,0,0.62,0.76,0,0,11,1,1
3.6,groundnut,DAP,Rabi,3,162.0,466.25,2.8781,20,4,0,0.74,0.78,0,1,11,1,1
8.5,sunflower,Urea,Kharif,9,467.5,403.12,0.8623,348,6,0,0.83,0.61,1,0,11,1,0
6.7,cotton,Urea,Summer,4,435.5,1279.55,2.9381,161,0,0,0.64,0.36,1,1,14,0,0
4.7,groundnut,DAP,Rabi,3,211.5,119.41,0.5646,8,2,0,0.2,0.64,0,1,20,1,0
8.7,cotton,MOP,Summer,4,261.0,213.2,0.8169,105,5,0,0.03,0.36,1,1,10,1,0
0.7,soybean,MOP,Rabi,12,21.0,43.19,2.0565,23,4,3,0.81,0.27,1,1,11,1,1
4.9,groundnut,MOP,Kharif,9,161.7,178.55,1.1042,232,1,0,0.51,0.84,1,1,13,0,0
4.5,cotton,DAP,Kharif,7,270.0,137.98,0.511,43,5,3,0.03,0.88,1,0,8,1,1
9.1,maize,MOP,Rabi,2,245.7,216.98,0.8831,173,3,1,0.81,0.99,1,1,19,1,1
5.9,paddy,MOP,Summer,4,147.5,236.21,1.6014,282,4,1,0.51,0.76,0,0,14,1,1
9.7,groundnut,SSP,Rabi,12,873.0,2031.71,2.3273,331,6,0,0.16,0.98,1,0,17,1,0
11.6,maize,MOP,Kharif,7,382.8,235.55,0.6153,68,2,0,0.22,0.03,1,0,19,1,0
1.0,soybean,DAP,Kharif,10,50.0,39.26,0.7853,19,0,2,0.22,0.17,1,1,15,0,0
0.7,cotton,SSP,Kharif,9,84.0,199.28,2.3724,30,6,0,0.73,0.36,1,1,11,1,1
2.5,paddy,SSP,Kharif,10,250.0,604.81,2.4192,164,1,0,0.74,0.37,1,1,10,0,1
4.9,paddy,Urea,Rabi,2,269.5,284.01,1.0539,145,0,0,0.64,0.99,0,1,20,0,0
8.0,sugarcane,MOP,Summer,5,440.0,494.63,1.1242,58,6,1,0.73,0.37,0,1,9,1,1
11.3,wheat,Urea,Summer,5,621.5,683.29,1.0994,124,5,0,0.54,0.61,1,1,9,1,1
2.5,wheat,Urea,Rabi,2,162.5,230.99,1.4215,143,3,0,0.97,0.27,1,1,18,1,1
0.6,paddy,DAP,Rabi,11,27.0,31.2,1.1555,251,0,0,0.71,0.37,1,1,9,0,0
6.8,wheat,Urea,Kharif,9,408.0,281.21,0.6892,213,0,0,0.58,0.21,1,0,11,0,1
4.5,wheat,Urea,Rabi,1,292.5,335.08,1.1456,338,4,1,0.74,0.99,1,0,20,1,0
3.0,sunflower,Urea,Rabi,3,150.0,150.56,1.0037,47,4,1,0.83,0.23,1,0,6,1,1
5.9,cotton,SSP,Rabi,3,649.0,1584.73,2.4418,357,0,1,0.81,0.73,1,0,6,0,1
3.3,maize,MOP,Rabi,1,89.1,85.87,0.9637,216,1,0,0.34,0.88,1,0,7,0,0
1.4,groundnut,Urea,Summer,4,21.0,17.27,0.8226,203,4,0,0.42,0.1,0,1,9,1,1
4.1,maize,MOP,Kharif,10,135.3,84.41,0.6239,123,2,0,0.09,0.38,0,1,16,1,0
4.2,paddy,Urea,Rabi,1,231.0,253.29,1.0965,201,0,0,0.55,0.61,1,0,18,0,0
4.7,paddy,DAP,Kharif,10,235.0,269.41,1.1464,346,4,1,0.16,0.73,1,0,10,1,1
3.0,paddy,Urea,Kharif,7,195.0,187.92,0.9637,281,4,2,0.71,0.78,0,1,11,1,1
4.5,cotton,SSP,Kharif,8,540.0,1148.78,2.1274,206,2,0,0.34,0.1,1,0,13,1,1
4.5,sunflower,DAP,Rabi,1,202.5,126.57,0.6251,285,6,3,0.64,0.65,0,0,8,1,1
3.9,sugarcane,MOP,Rabi,3,234.0,125.29,0.5354,299,5,2,0.81,0.36,1,0,17,1,1
7.7,paddy,SSP,Rabi,12,693.0,398.04,0.5744,101,3,3,0.34,0.61,1,1,15,1,1
1.6,paddy,DAP,Summer,5,64.0,33.45,0.5227,60,4,0,0.22,0.23,1,0,11,1,0
2.4,groundnut,DAP,Kharif,6,120.0,72.31,0.6026,42,5,0,0.03,0.03,1,1,11,1,0
1.3,groundnut,MOP,Rabi,11,39.0,44.19,1.1331,230,1,0,0.71,0.96,1,1,6,0,1
7.6,wheat,Urea,Kharif,9,456.0,431.7,0.9467,339,5,3,0.62,0.38,1,0,8,1,1
5.2,sunflower,SSP,Summer,5,416.0,557.43,1.34,87,3,0,0.55,0.73,0,0,13,1,1
10.0,cotton,MOP,Kharif,8,400.0,275.76,0.6894,88,4,0,0.64,0.84,0,0,20,1,1
10.4,groundnut,MOP,Rabi,3,312.0,248.1,0.7952,278,5,1,0.54,0.21,1,1,6,1,1
6.6,maize,Urea,Kharif,6,462.0,437.29,0.9465,113,3,2,0.64,0.38,1,1,9,1,0
5.5,sunflower,SSP,Kharif,7,550.0,647.18,1.1767,34,5,0,0.03,0.88,1,1,15,1,1
11.7,sugarcane,MOP,Rabi,12,702.0,518.56,0.7387,60,4,2,0.03,0.38,0,1,10,1,1
11.1,groundnut,MOP,Kharif,7,366.3,407.08,1.1113,307,2,2,0.72,0.78,1,1,13,1,1
9.2,maize,Urea,Kharif,10,644.0,649.25,1.0082,208,3,1,0.91,0.17,1,1,16,1,0
5.7,maize,DAP,Kharif,10,313.5,162.51,0.5184,356,3,0,0.54,0.99,1,1,18,1,0
3.6,maize,SSP,Rabi,12,360.0,223.14,0.6198,339,5,0,0.85,0.65,0,0,9,1,1
4.5,sunflower,Urea,Kharif,7,247.5,175.72,0.71,64,3,0,0.55,0.37,1,0,17,1,0
3.1,groundnut,MOP,Rabi,2,93.0,106.74,1.1478,214,6,1,0.81,0.73,1,1,10,1,1
2.5,soybean,DAP,Kharif,8,125.0,75.86,0.6069,332,4,0,0.03,0.1,1,0,16,1,0
4.8,soybean,Urea,Kharif,9,96.0,163.81,1.7063,136,6,2,0.22,0.03,1,1,14,1,1
2.6,cotton,SSP,Rabi,2,286.0,177.22,0.6196,194,5,0,0.2,0.65,1,1,13,1,0
2.7,cotton,DAP,Kharif,10,162.0,150.16,0.9269,4,5,0,0.03,0.56,0,0,17,1,0
8.0,soybean,MOP,Kharif,8,264.0,427.93,1.621,245,1,0,0.22,0.84,1,1,12,0,0
6.1,wheat,Urea,Kharif,6,366.0,370.72,1.0129,95,4,0,0.2,0.03,1,0,11,1,0
3.2,sugarcane,Urea,Rabi,12,384.0,1092.11,2.844,7,3,0,0.97,0.99,1,1,13,1,1
0.8,wheat,SSP,Kharif,8,72.0,81.43,1.131,262,4,0,0.74,0.21,1,1,14,1,1
11.9,cotton,DAP,Kharif,8,714.0,681.97,0.9551,218,2,0,0.97,0.36,0,0,16,1,0
